City,Postal Code,Latitude,Longitude
Carlsbad,92008,33.1581,-117.3506
Chula_Vista,91910,32.639954,-117.106705
Coronado,91932,32.689110,-117.153748
Del_Mar,92041,32.959492,-117.265244
El_Cajon,92019,32.794773,-116.962524 
Encinitas,92007,33.039139,-117.295425
Escondido,92025,33.124722,-117.080833
Imperial_Beach,91932,32.58394,-117.11308
La_Mesa,91941,32.76783,-117.02308
Lemon_Grove,91945,32.74255,-117.03142
National_City,91902,32.67811,-117.0992
Oceanside,92003,33.211666,-117.325836
Poway,92025,32.9628,-117.0359
San_Diego,22400,32.7157,-117.1611
San_Marcos,92069,33.1444,-117.1697
Santee,92071,32.8384,-116.9739
Solana,92014,32.9912,-117.2711
Vista,92081,33.200,-117.2425